Wall time,Step,Value
1524172934.834314,0,0.5151825547218323
1524172949.952331,1,0.1580820530653
1524172965.00332,2,0.12091034650802612
1524172980.215966,3,0.1081429123878479
1524172995.375071,4,0.10080907493829727
1524173010.455407,5,0.09378627687692642
1524173025.570848,6,0.08731602132320404
1524173040.695956,7,0.0815904438495636
1524173055.813949,8,0.07411090284585953
1524173070.881382,9,0.06754308938980103
1524173086.004641,10,0.06002676486968994
1524173101.126523,11,0.05344938486814499
1524173116.215449,12,0.047367166727781296
1524173131.30403,13,0.04093582555651665
1524173146.402109,14,0.036039117723703384
1524173161.540867,15,0.03307599946856499
1524173176.637717,16,0.031151825562119484
1524173191.738302,17,0.02801777794957161
1524173206.781771,18,0.024958614259958267
1524173221.901567,19,0.024407191202044487
1524173236.980193,20,0.02221977524459362
1524173252.073696,21,0.02193637005984783
1524173267.273183,22,0.020535139366984367
1524173282.350108,23,0.020430155098438263
1524173297.314893,24,0.01882140338420868
1524173312.269659,25,0.017168762162327766
1524173327.236357,26,0.016830820590257645
1524173342.273751,27,0.017752990126609802
1524173357.222484,28,0.015297007746994495
1524173372.151271,29,0.015185241587460041
